[0]	train-mlogloss:0.892393+0.003640	test-mlogloss:0.892879+0.002773
[1]	train-mlogloss:0.748224+0.003561	test-mlogloss:0.749233+0.003313
[2]	train-mlogloss:0.641607+0.002353	test-mlogloss:0.643012+0.001911
[3]	train-mlogloss:0.559584+0.003140	test-mlogloss:0.561531+0.003322
[4]	train-mlogloss:0.493974+0.001886	test-mlogloss:0.496637+0.002412
[5]	train-mlogloss:0.443240+0.002369	test-mlogloss:0.446286+0.003309
[6]	train-mlogloss:0.403275+0.002487	test-mlogloss:0.406777+0.004624
[7]	train-mlogloss:0.370370+0.001874	test-mlogloss:0.374199+0.004506
[8]	train-mlogloss:0.344410+0.001724	test-mlogloss:0.348706+0.004388
[9]	train-mlogloss:0.323152+0.001697	test-mlogloss:0.327977+0.004375
[10]	train-mlogloss:0.305504+0.001727	test-mlogloss:0.310798+0.004121
[11]	train-mlogloss:0.290977+0.001855	test-mlogloss:0.296773+0.004374
[12]	train-mlogloss:0.278370+0.001648	test-mlogloss:0.284655+0.004244
[13]	train-mlogloss:0.267983+0.001863	test-mlogloss:0.274754+0.004014
[14]	train-mlogloss:0.259240+0.001806	test-mlogloss:0.266489+0.004249
[15]	train-mlogloss:0.251533+0.001617	test-mlogloss:0.259256+0.004779
[16]	train-mlogloss:0.244976+0.001626	test-mlogloss:0.253274+0.004960
[17]	train-mlogloss:0.239406+0.001535	test-mlogloss:0.248236+0.005145
[18]	train-mlogloss:0.234246+0.001689	test-mlogloss:0.243488+0.005020
[19]	train-mlogloss:0.229855+0.001556	test-mlogloss:0.239462+0.005140
[20]	train-mlogloss:0.226035+0.001286	test-mlogloss:0.236162+0.005372
[21]	train-mlogloss:0.222516+0.001329	test-mlogloss:0.233089+0.005364
[22]	train-mlogloss:0.219305+0.001334	test-mlogloss:0.230326+0.005394
[23]	train-mlogloss:0.216542+0.001374	test-mlogloss:0.227990+0.005376
[24]	train-mlogloss:0.214041+0.001327	test-mlogloss:0.226129+0.005520
[25]	train-mlogloss:0.211698+0.001350	test-mlogloss:0.224285+0.005530
[26]	train-mlogloss:0.209607+0.001469	test-mlogloss:0.222578+0.005426
[27]	train-mlogloss:0.207607+0.001493	test-mlogloss:0.221134+0.005410
[28]	train-mlogloss:0.205784+0.001546	test-mlogloss:0.219756+0.005291
[29]	train-mlogloss:0.204048+0.001524	test-mlogloss:0.218539+0.005276
[30]	train-mlogloss:0.202431+0.001521	test-mlogloss:0.217389+0.005404
[31]	train-mlogloss:0.200930+0.001432	test-mlogloss:0.216437+0.005611
[32]	train-mlogloss:0.199408+0.001389	test-mlogloss:0.215345+0.005732
[33]	train-mlogloss:0.198060+0.001454	test-mlogloss:0.214459+0.005694
[34]	train-mlogloss:0.196793+0.001412	test-mlogloss:0.213719+0.005768
[35]	train-mlogloss:0.195585+0.001390	test-mlogloss:0.213071+0.005953
[36]	train-mlogloss:0.194502+0.001437	test-mlogloss:0.212517+0.005998
[37]	train-mlogloss:0.193444+0.001459	test-mlogloss:0.211944+0.005999
[38]	train-mlogloss:0.192398+0.001459	test-mlogloss:0.211484+0.005954
